Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Výpočet,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,2018,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,Adresa hodnoteného objektu,,,,Zadávaš,,,,Merná tepelná strata prechodom tepla ,,,,,,,,,,,,,,Mesačná metóda,,,,,,,,,,,,,,,,,,,,
,Okres:,Bratislava II,,,Vypočíta sa,,,,Konštrukcia,,,,,Plocha Ai,Ui,Ui . Ai,Faktor bx,bx . Ui . Ai,,,,,Ti,počet vyk dní,D2019,mesiac,"xi=D.0,024",Ht,Hv,Qi,Qsol,Qspolu,μ,Qh,,,,,,,,,
,,,,,,,,,0,0,,,,0,0,0,1,0,1,0,0.0,,január,31,-0.7,595.1999999999999,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,február,28,6,487.19999999999993,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,marec,31,6.6,486.70000000000005,,,,,,,,,,,,,,,,,
,,,,,,,,,Súčty,,,,∑ Ai =,9721.203399999999,,∑bx . Ui . Ai=,,5369.061265295347,,39.150000000000006,0.003915,,apríl,14,11.2,305.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,máj,8,15.9,32.8,,,,,,,,,,,,,,,,,
,,,,,,,,,Vplyv tepelných mostov: ,,,,,,,,,,,,,,,203,5.999999999999999,3245,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,exaktne:,"podľa STN EN ISO 10211, resp. STN ISO 14683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,X,paušálne:,0.05,Konštrukcie zateplené zvonku,,ΔU =,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.1,Ostatné prípady,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.2,Konštrukcie zateplené zvnútra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vplyv tepelných mostov [W/K]:,,,,ΔU.∑Ai = ,,,,,486.06016999999997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Merná tepelná strata HT [W/K]:,,,,HT = ∑bx.Ui.Ai + ΔU.∑Ai =,,,,,5855.121435295347,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Priemerný súčiniteľ prechodu tepla [W/(m2K)]:,,,,,,,,"Ue,m = HT/∑Ai =",0.6023041792639939,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Odporúčané hodnoty Ue,m                ",,,∑Ai/Vb ,"Ue,m,max","Ue,m,N","Ue,m,r1","Ue,m,r2",Vyhovuje?,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Priemerný súčiniteľ prechodu tepla [W/(m2K)]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Ue,m = HT/∑Ai =",0.6023041792639939,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Merná tepelná strata vetraním,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pomer vnútorného a obostavaného objemu budovy V/Vb (m3/m3),,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Hustota vzduchu (kg/m3),,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Merná tepelná kapacita vzduchu (J/kg.K),,,,,,,,,1010,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Intenzita výmeny vzduchu,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,HV =,,,,,,,,,4639.748941666667,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Tepelná strata celková-normalizovaná hodnota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,mesiac,jan,feb,mar,apr,okt,nov,dec,,Spolu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,xi,16.2192,13.171200000000002,11.457600000000001,7.272,7.5888,11.304,15.103200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,H,10494.870376962013,4558.571615511199,4558.571615511199,4558.571615511199,4558.571615511199,4558.571615511199,4558.571615511199,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ql=,170218.4016180223,60041.85846222111,52230.290141881116,33149.93278799744,34594.088275791386,51530.09354173859,68849.01882338875,,470613.6836510406,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Tepelná strata celková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,H=,,,,,,,,,10494.870376962013,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vnútorné tepelné zisky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Qint,,,,,,,,,Spolu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,počet vyk. dní,198.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,tepelný výkon ZT ,5,,,,,,,,268906.68000000005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Solárne tpelné zisky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,orientácia,,,J,V,Z,S,H,,Spolu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Intenzita slnečného žiarenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Plocha otvoru,,,200,200,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Faktor tienenia,,,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celková priepusnosť,,,0.6,0.6,0.6,0.6,0.6,,,navzorcvat,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Účinná kolekčná plocha,,,19.199999999999996,19.199999999999996,19.199999999999996,19.199999999999996,19.199999999999996,,,navzorcovat,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Solárny tepelný zisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Tepelné zisky celkové,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Potreba tepla na vykurovanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Qh=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
